DIRECTORIO;SECUENCIA_P;SECUENCIA_ENCUESTA;P3053;P3095;P3096;P3097;P3098;P3054;P3055;P469;CLASE_TE;COD_DEPTO;AREA;F_EXP
5299787;1;1;1;2;;;;1;3;2;1;68;68;65.643424827158600
5299791;1;1;1;1;;;;1;1;1;1;68;68;65.643424827158600
5299798;1;1;3;;;1;;;;;1;54;54;36.606636622573200
5299801;1;1;3;;;1;;;;;1;68;68;55.687147875570900
5299801;1;2;1;2;;;;1;3;2;1;68;68;55.687147875570900
5299804;1;1;4;;;;1;;;;1;76;;184.277524715300000
5299824;1;1;3;;;1;;;;;1;19;19;13.984471702830800
5299829;1;1;4;;;;1;;;;1;19;19;14.324597370920200
5299836;1;1;3;;;1;;;;;1;05;05;209.272575877530000
5299837;1;2;3;;;1;;;;;1;05;05;210.949620336426000
5299849;1;1;1;2;;;;1;1;1;1;50;50;22.597945088498700
5299851;1;1;1;1;;;;1;1;1;1;50;50;20.498500342894500
5299855;1;1;1;2;;;;1;3;2;1;76;76;86.726524277845800
5299861;1;1;1;1;;;;1;1;1;1;44;44;4.234860092600150
5299862;1;4;2;;1;;;1;1;1;1;44;44;2.959908485043840
5299862;1;7;6;;;;;;;;1;44;44;2.959908485043840
5299863;1;3;1;1;;;;1;1;2;1;44;44;3.082533730378250
5299866;1;1;4;;;;1;;;;1;76;;189.536439535640000
5299885;1;2;3;;;2;;;;;1;15;15;11.569725493075400
5299898;1;1;1;2;;;;1;3;2;1;15;15;9.911716417074000
5299900;1;1;2;;1;;;1;3;1;1;41;41;8.139682092474240
5299910;1;1;3;;;1;;;;;1;15;15;11.435459802559100
5299911;1;2;1;2;;;;1;4;2;1;63;63;13.646469314442900
5299916;1;2;2;;3;;;1;3;1;1;41;41;30.075348597830700
5299917;1;1;4;;;;1;;;;1;41;41;25.153352295872900
5299917;1;2;1;2;;;;1;4;2;1;41;41;25.153352295872900
5299917;1;3;1;2;;;;1;4;2;1;41;41;25.153352295872900
5299919;1;1;1;2;;;;1;3;1;1;41;41;60.825661033966700
5299926;1;1;2;;2;;;1;4;1;1;63;63;6.176613704647940
5299930;1;1;1;2;;;;1;1;2;1;15;15;10.436710682590500
5299938;1;1;5;;;;;1;1;1;1;68;68;59.242453359206200
5299939;1;1;3;;;1;;;;;1;68;68;25.350548388786800
5299939;1;4;3;;;2;;;;;1;68;68;25.350548388786800
5299940;1;2;3;;;1;;;;;1;68;68;36.154248976625400
5299940;1;4;3;;;1;;;;;1;68;68;36.154248976625400
5299945;1;1;3;;;2;;;;;1;05;05;80.905645477646600
5299946;1;2;2;;1;;;1;1;1;1;05;05;99.319400041088300
5299946;1;3;2;;1;;;1;3;1;1;05;05;99.319400041088300
5299946;1;4;4;;;;1;;;;1;05;05;99.319400041088300
5299952;1;2;3;;;1;;;;;1;15;15;10.327115605951500
5299954;1;1;1;2;;;;1;4;2;1;63;63;11.155216124506800
5299956;1;2;4;;;;1;;;;1;63;63;12.743689148487300
5299957;1;1;2;;2;;;1;3;1;1;52;52;21.886872622624000
5299957;1;2;1;2;;;;1;3;1;1;52;52;21.886872622624000
5299964;1;1;4;;;;2;1;;1;1;73;73;35.185935298876000
5299971;1;1;6;;;;;;;;1;73;73;35.392017389527100
5299974;1;1;1;1;;;;1;3;2;1;73;73;37.305383546259000
5299976;1;1;4;;;;1;;;;1;73;73;31.972523509541000
5299976;1;2;4;;;;1;;;;1;73;73;31.972523509541000
5299981;1;2;2;;2;;;1;3;1;1;68;68;23.993261543093500
5299981;1;4;2;;2;;;1;3;1;1;68;68;23.993261543093500
5299981;1;6;4;;;;1;;;;1;68;68;23.993261543093500
5299982;1;1;5;;;;;1;1;1;1;68;68;35.504597172878800
5299982;1;2;1;2;;;;1;4;1;1;68;68;35.504597172878800
5299983;2;2;3;;;1;;;;;1;68;68;57.295741588349400
5299984;1;1;2;;1;;;1;3;1;1;52;52;22.144847230942500
5299985;1;1;2;;1;;;1;3;1;1;52;52;16.947974700693300
5299987;1;2;2;;1;;;1;4;1;1;52;52;14.391647722100800
5299988;1;3;1;2;;;;1;3;1;1;52;52;9.332513038548420
5299991;1;1;4;;;;1;;;;1;52;52;22.144847230942500
5299995;1;2;1;2;;;;1;4;2;1;63;63;13.376343227499600
5300001;1;1;1;1;;;;1;3;1;1;52;52;21.804157473283100
5300004;1;1;6;;;;;;;;1;68;68;66.151362690014900
5300004;1;4;1;2;;;;1;3;2;1;68;68;66.151362690014900
5300005;1;1;6;;;;;;;;1;68;68;74.842947132910400
5300006;1;1;4;;;;1;;;;1;68;68;130.337369820560000
5300006;1;2;4;;;;1;;;;1;68;68;130.337369820560000
5300009;1;2;2;;2;;;1;3;2;1;68;68;75.904511216637600
5300010;1;1;4;;;;1;;;;1;68;68;103.611650935790000
5300014;1;1;3;;;1;;;;;1;68;68;107.256139154198000
5300014;1;3;3;;;1;;;;;1;68;68;107.256139154198000
5300014;1;4;3;;;1;;;;;1;68;68;107.256139154198000
5300023;1;1;1;2;;;;1;4;2;1;73;73;24.822295839272600
5300025;1;1;1;1;;;;1;1;1;1;73;73;32.950310809582100
5300025;1;2;1;1;;;;1;3;1;1;73;73;32.950310809582100
5300026;1;2;3;;;1;;;;;1;73;73;28.613882480623700
5300029;1;1;1;2;;;;1;4;2;1;70;70;11.820862478023500
5300039;1;3;1;2;;;;1;1;1;1;05;05;187.105710650344000
5300041;1;3;2;;1;;;1;6;1;1;05;05;76.291740003120000
5300048;1;1;6;;;;;;;;1;44;44;7.377589729751600
5300051;1;1;3;;;1;;;;;1;63;63;13.604969155437500
5300054;1;1;1;2;;;;1;1;1;1;63;63;12.989044646439000
5300056;1;1;2;;1;;;1;5;1;1;63;63;12.476012592563000
5300058;1;2;1;2;;;;1;3;1;1;73;73;24.297557152605900
5300063;1;1;4;;;;2;1;;1;1;63;63;11.226221012128200
5300064;1;1;3;;;1;;;;;1;63;63;11.862781906931100
5300068;1;2;1;2;;;;1;4;2;1;63;63;12.212226785251500
5300083;1;1;2;;1;;;1;3;1;1;44;44;7.267546937659960
5300084;1;1;2;;1;;;1;3;1;1;44;44;8.832585730393080
5300090;1;1;1;1;;;;1;3;1;1;44;44;4.644516571009040
5300095;1;1;3;;;1;;;;;1;23;23;28.645522011100500
5300098;1;1;3;;;1;;;;;1;18;18;8.935820949593910
5300101;1;3;1;1;;;;1;3;2;1;18;18;4.479765754384820
5300102;1;1;5;;;;;1;3;2;1;18;18;6.379787160590460
5300103;1;1;3;;;1;;;;;1;18;18;5.959148522526250
5300103;1;3;2;;2;;;1;3;2;1;18;18;5.959148522526250
5300103;1;4;1;2;;;;1;1;2;1;18;18;5.959148522526250
5300104;1;1;6;;;;;;;;1;18;18;7.868502837690720
5300109;1;1;3;;;1;;;;;1;23;23;34.090057283267500
5300112;1;1;2;;1;;;1;3;1;1;76;76;86.577749768980000
5300113;1;2;4;;;;2;1;;1;1;76;76;65.009090937655000
5300118;1;2;1;2;;;;1;1;1;1;23;23;18.180012447564900
5300119;1;3;5;;;;;1;1;1;1;23;23;8.522514320816910
5300127;1;1;3;;;1;;;;;1;88;88;4.673695653887040
5300128;1;2;1;1;;;;1;3;2;1;88;88;4.319548197829460
5300139;1;1;2;;1;;;1;1;1;1;88;88;4.173770065495110
5300140;1;1;3;;;1;;;;;1;88;88;3.771816825364900
5300141;1;1;2;;1;;;1;3;1;1;88;88;4.570609709382660
5300144;1;1;5;;;;;1;3;1;1;88;88;2.934908623720430
5300155;1;1;1;1;;;;1;1;1;1;76;;189.478897550212000
5300156;1;1;3;;;2;;;;;1;76;;144.046116921167000
5300157;1;1;4;;;;1;;;;1;54;54;42.387368893505400
5300158;1;2;2;;2;;;1;3;1;1;54;54;36.256508072790000
5300160;2;1;3;;;1;;;;;1;54;54;31.225726811757000
5300162;1;1;1;2;;;;1;1;2;1;76;;189.518906412733000
5300164;1;1;1;1;;;;1;1;1;1;68;68;32.347596458313200
5300164;1;3;1;2;;;;1;4;1;1;68;68;32.347596458313200
5300166;1;1;5;;;;;1;2;1;1;68;68;72.097800699266800
5300167;1;2;1;1;;;;1;1;1;1;68;68;44.231543737818500
5300168;1;1;5;;;;;1;1;1;1;68;68;42.430822349955800
5300170;1;1;4;;;;1;;;;1;68;68;42.349643332463700
5300170;1;2;4;;;;1;;;;1;68;68;42.349643332463700
5300172;1;1;5;;;;;1;1;1;1;68;68;58.752103600829800
5300173;1;1;1;1;;;;1;3;1;1;68;68;40.443524234243100
5300176;1;1;3;;;1;;;;;1;54;54;39.395337732617800
5300190;1;1;1;2;;;;1;1;1;1;50;50;17.631134685161100
5300195;1;1;4;;;;2;1;;1;1;50;50;21.939021334569000
5300207;1;1;4;;;;1;;;;1;50;50;22.037751793955800
5300211;1;2;4;;;;1;;;;1;50;50;21.172018685804400
5300216;1;1;2;;2;;;1;3;1;1;17;17;18.968552862275000
5300222;1;1;6;;;;;;;;1;17;17;17.909905705012400
5300222;1;2;3;;;1;;;;;1;17;17;17.909905705012400
5300240;1;1;1;2;;;;1;3;2;1;41;41;15.037674298915400
5300240;1;2;4;;;;1;;;;1;41;41;15.037674298915400
5300245;1;1;2;;1;;;1;1;1;1;41;41;12.936127400367600
5300249;1;1;4;;;;1;;;;1;27;27;8.193650142754980
5300250;1;2;4;;;;1;;;;1;27;27;8.378989907936080
5300261;1;1;2;;1;;;1;1;1;1;19;19;15.600053432456600
5300265;1;2;1;2;;;;1;1;1;1;50;50;20.579340994613600
5300268;1;2;2;;1;;;1;4;1;1;27;27;8.970845366440910
5300275;1;1;3;;;1;;;;;1;50;50;27.638872180303500
5300278;1;1;1;1;;;;1;3;1;1;19;19;7.659976921361490
5300281;1;1;1;2;;;;1;1;1;1;19;19;13.984471702830800
5300284;1;2;1;1;;;;1;2;2;1;54;54;40.267035167313500
5300285;1;2;3;;;1;;;;;1;17;17;23.164991990172600
5300304;1;1;1;2;;;;1;1;1;1;05;05;108.780540262781000
5300307;1;1;3;;;1;;;;;1;05;05;106.692906589147000
5300311;1;1;1;1;;;;1;3;1;1;68;68;57.859207667969200
5300316;1;1;4;;;;1;;;;1;68;68;51.805825467895000
5300326;1;1;3;;;1;;;;;1;13;13;52.085208573921200
5300327;1;1;1;2;;;;1;1;1;1;13;13;44.093541185606400
5300328;1;1;5;;;;;1;1;1;1;13;13;40.387284052245000
5300328;1;2;1;2;;;;1;1;2;1;13;13;40.387284052245000
5300329;1;1;5;;;;;1;1;1;1;13;13;39.742329879474500
5300329;1;2;1;2;;;;1;1;1;1;13;13;39.742329879474500
5300335;1;2;3;;;1;;;;;1;05;05;117.256838396664000
5300336;1;1;3;;;1;;;;;1;05;05;115.579793937767000
5300338;1;1;1;1;;;;1;4;2;1;76;76;99.478723656025000
5300340;1;1;2;;2;;;1;3;1;1;76;76;80.373383678293800
5300342;1;1;3;;;2;;;;;1;76;76;75.465546965934700
5300346;1;1;3;;;1;;;;;1;76;76;80.373383678293800
5300350;1;2;3;;;1;;;;;1;76;76;68.112723127316600
5300352;1;1;4;;;;1;;;;1;88;88;4.133912613412290
5300352;1;2;5;;;;;1;1;1;1;88;88;4.133912613412290
5300355;1;1;1;1;;;;1;1;1;1;88;88;5.035235706609250
5300355;1;2;3;;;1;;;;;1;88;88;5.035235706609250
5300356;1;2;5;;;;;1;1;1;1;88;88;3.893908825638670
5300357;1;1;5;;;;;1;4;1;1;68;68;61.749119873029400
5300359;1;2;3;;;1;;;;;1;68;68;44.592059200677700
5300364;1;2;6;;;;;;;;1;88;88;4.791515055489190
5300365;1;1;3;;;1;;;;;1;88;88;4.570609709382660
5300367;1;1;3;;;1;;;;;1;88;88;4.319548197829460
5300368;1;1;3;;;1;;;;;1;88;88;4.076265621817130
5300370;1;1;1;1;;;;1;4;2;1;05;05;89.244521838220000
5300370;1;2;8;;;;;;;;1;05;05;89.244521838220000
5300371;1;1;1;2;;;;1;3;2;1;05;05;107.976430134560000
5300375;1;1;1;2;;;;1;1;2;1;05;05;84.164128150714100
5300384;1;2;2;;1;;;1;3;1;1;63;63;13.837809854312500
5300386;1;2;1;1;;;;1;4;2;1;63;63;12.966458094927700
5300388;1;2;1;1;;;;1;3;2;1;05;05;105.016513850355000
5300390;1;3;1;2;;;;1;5;2;1;08;08;42.298487571648400
5300395;1;1;2;;1;;;1;3;1;1;05;05;94.996049398202500
5300398;1;1;2;;1;;;1;3;1;1;15;15;11.213762245682500
5300398;1;2;2;;2;;;1;3;1;1;15;15;11.213762245682500
5300400;1;3;5;;;;;1;1;1;1;08;08;42.405239393250500
5300402;1;1;5;;;;;1;1;2;1;63;63;13.378309460384300
5300409;1;1;1;2;;;;1;3;2;1;63;63;15.455261753844900
5300410;1;1;4;;;;2;1;;2;1;68;68;37.078322780259600
5300410;1;2;5;;;;;1;1;1;1;68;68;37.078322780259600
5300413;1;1;5;;;;;1;3;1;1;68;68;65.643424827158600
5300414;1;2;1;1;;;;1;4;1;1;68;68;57.018393551083000
5300418;1;1;4;;;;1;;;;1;68;68;37.776036860220800
5300418;1;5;4;;;;1;;;;1;68;68;37.776036860220800
5300424;1;1;1;2;;;;1;1;2;1;41;41;12.154738707265000
5300433;1;1;4;;;;1;;;;1;54;54;36.649827723093000
5300436;1;1;4;;;;1;;;;1;54;54;40.720807160795500
5300439;1;2;1;2;;;;1;1;2;1;23;23;8.522514320816910
5300445;1;1;4;;;;1;;;;1;05;05;108.780540262781000
5300448;1;1;4;;;;2;1;;1;1;05;05;56.703360769418500
5300450;1;3;1;2;;;;1;1;1;1;05;05;103.707285778510000
5300455;1;2;1;1;;;;1;3;1;1;15;15;9.657635727634160
5300463;1;3;1;1;;;;1;4;2;1;63;63;12.579903171526900
5300465;1;1;3;;;1;;;;;1;63;63;12.739782332696700
5300466;1;1;1;2;;;;1;1;1;1;63;63;12.091423902046800
5300474;1;1;2;;1;;;1;3;1;1;15;15;9.299003764149250
5300480;1;3;3;;;2;;;;;1;08;08;39.985705582261200
5300480;1;4;4;;;;1;;;;1;08;08;39.985705582261200
5300485;1;1;4;;;;2;1;;1;1;15;15;7.917362416894180
5300488;1;1;4;;;;1;;;;1;54;54;39.173484932440200
5300489;1;1;2;;1;;;1;3;1;1;54;54;40.751277066886000
5300498;1;1;3;;;2;;;;;1;17;17;17.000518358702100
5300501;1;1;4;;;;2;1;;1;1;11;11;276.567710861358000
5300502;1;1;1;2;;;;1;5;2;1;54;54;44.162123943184000
5300511;1;1;4;;;;1;;;;1;52;52;18.285311369830000
5300515;1;1;2;;1;;;1;3;2;1;15;15;10.706543982757000
